School ID,School Name,Borough,Building Code,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Start Time,End Time,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested
07X427,Community School for Social Justice,Bronx,X884,350 Gerard Avenue,Bronx,NY,10451,40.81608,-73.93032,718-402-8481,8:30 AM,3:00 PM,324,1.2%,29.6%,67.3%,1.5%,380,382,362,38.4%
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,X600,333 East 151st Street,Bronx,NY,10451,40.81825,-73.91974,718-993-5000,8:50 AM,3:00 PM,375,0.8%,29.1%,68.3%,1.1%,390,373,371,29.8%
09X327,Comprehensive Model School Project,Bronx,X240,1501 Jerome Avenue,Bronx,NY,10452,40.84241,-73.91616,718-294-8111,8:00 AM,4:00 PM,628,0.6%,23.3%,76.0%,0.0%,,,,
09X365,Academy for Language and Technology,Bronx,X082,1700 Macombs Road,Bronx,NY,10453,40.8491,-73.91609,718-731-0219,8:00 AM,4:00 PM,322,0.0%,0.3%,99.7%,0.0%,371,334,348,78.9%
07X223,Laboratory School of Finance and Technology,Bronx,X149,360 East 145th Street,Bronx,NY,10454,40.81401,-73.92084,718-585-8202,7:50 AM,3:00 PM,502,0.9%,20.6%,78.5%,0.0%,,,,
07X221,South Bronx Preparatory (College Board),Bronx,X149,360 East 145th Street,Bronx,NY,10454,40.81401,-73.92084,718-292-2211,8:00 AM,3:00 PM,654,1.4%,25.2%,70.3%,1.7%,419,414,394,76.9%
07X334,International Community High School,Bronx,X139,345 Brook Avenue,Bronx,NY,10454,40.81004,-73.91781,718-665-4128,9:00 AM,4:00 PM,463,1.3%,14.0%,76.7%,6.5%,345,338,312,58.2%
07X520,Foreign Language Academy of Global Studies,Bronx,X155,470 Jackson Avenue,Bronx,NY,10455,40.81114,-73.90979,718-585-4024,7:30 AM,3:00 PM,145,1.4%,26.9%,67.6%,2.8%,,,,32.6%
07X500,Hostos-Lincoln Academy of Science,Bronx,X162,600 St Anns Avenue,Bronx,NY,10455,40.81496,-73.91252,718-402-5640,8:00 AM,2:30 PM,544,1.5%,22.5%,69.9%,3.8%,463,451,435,80.0%
07X259,"HERO High (Health, Education, and Research Occupations High School)",Bronx,X655,455 Southern Boulevard,Bronx,NY,10455,40.81041,-73.9068,718-585-8013,8:30 AM,3:30 PM,231,1.7%,35.5%,58.9%,2.2%,,,,
07X495,University Heights Secondary School,Bronx,X470,701 St Anns Avenue,Bronx,NY,10455,40.81817,-73.91109,718-292-0578,8:45 AM,3:00 PM,486,1.6%,30.0%,64.6%,3.1%,420,446,424,87.8%
07X473,Mott Haven Village Preparatory High School,Bronx,X470,701 St Anns Avenue,Bronx,NY,10455,40.81817,-73.91109,718-402-0571,8:30 AM,3:00 PM,364,0.5%,25.3%,73.6%,0.3%,377,373,369,44.9%
09X543,High School for Violin and Dance,Bronx,X400,1110 Boston Road,Bronx,NY,10456,40.8276,-73.90448,718-842-0687,8:00 AM,3:00 PM,384,0.3%,34.1%,64.6%,0.5%,363,401,396,31.3%
09X403,Bronx International High School,Bronx,X400,1110 Boston Road,Bronx,NY,10456,40.8276,-73.90448,718-620-1053,9:00 AM,3:45 PM,409,1.7%,20.0%,74.1%,3.4%,355,330,320,59.1%
08X559,School for Tourism and Hospitality,Bronx,X650,900 Tinton Avenue,Bronx,NY,10456,40.82189,-73.90344,718-401-4214,8:30 AM,2:45 PM,240,0.0%,35.4%,60.4%,1.3%,,,,
12X479,Bronx Career and College Preparatory High School,Bronx,X158,800 Home Street,Bronx,NY,10456,40.82776,-73.90039,718-542-4011,8:00 AM,2:15 PM,333,0.6%,40.5%,56.8%,0.9%,370,379,381,40.7%
09X260,Bronx Center for Science and Mathematics,Bronx,X002,1363 Fulton Avenue,Bronx,NY,10456,40.83374,-73.90245,718-992-7089,7:30 AM,3:25 PM,457,1.5%,25.4%,65.9%,6.3%,513,468,485,73.9%
09X324,Bronx Early College Academy for Teaching and Learning,Bronx,X166,250 East 164th Street,Bronx,NY,10456,40.82871,-73.91776,718-681-8287,8:30 AM,3:15 PM,503,0.4%,28.7%,67.4%,3.6%,424,413,409,93.3%
09X250,Eximius College Preparatory Academy (College Board),Bronx,X002,1363 Fulton Avenue,Bronx,NY,10456,40.83374,-73.90245,718-992-7154,8:00 AM,3:22 PM,449,0.7%,45.2%,52.1%,1.1%,400,391,397,78.2%
12X267,Bronx Latin,Bronx,X158,800 Home Street,Bronx,NY,10456,40.82776,-73.90039,718-991-6349,8:30 AM,3:15 PM,546,0.0%,21.2%,77.1%,1.7%,394,381,363,81.0%
09X404,School for Excellence,Bronx,X400,1110 Boston Road,Bronx,NY,10456,40.8276,-73.90448,718-860-1385,8:15 AM,2:45 PM,421,1.0%,26.6%,70.8%,0.7%,377,385,383,38.4%
09X297,Morris Academy for Collaborative Studies,Bronx,X400,1110 Boston Road,Bronx,NY,10456,40.8276,-73.90448,718-542-3700,8:15 AM,3:30 PM,471,0.4%,26.3%,72.0%,0.8%,407,389,386,44.8%
09X517,Frederick Douglass Academy III Secondary School,Bronx,X148,3630 Third Avenue,Bronx,NY,10456,40.83417,-73.90403,718-538-9726,8:30 AM,4:00 PM,427,2.3%,50.4%,45.4%,0.7%,387,386,386,50.5%
09X564,Claremont International High School,Bronx,X410,240 East 172nd Street,Bronx,NY,10457,40.84037,-73.91084,718-410-4001,8:40 AM,3:17 PM,257,1.2%,20.6%,72.8%,4.7%,,,,
09X241,Urban Assembly School for Applied Math and Science,Bronx,X970,1595 Bathgate Avenue,Bronx,NY,10457,40.83933,-73.90131,718-466-7800,8:30 AM,3:30 PM,619,1.1%,33.0%,64.1%,1.4%,445,418,422,87.8%
09X227,Bronx Collegiate Academy,Bronx,X410,240 East 172nd Street,Bronx,NY,10457,40.84037,-73.91084,718-410-4077,8:30 AM,3:30 PM,382,0.3%,28.5%,69.1%,1.0%,395,401,382,45.5%
09X252,Mott Hall Bronx High School,Bronx,X970,1595 Bathgate Avenue,Bronx,NY,10457,40.83933,-73.90131,718-466-6800,8:30 AM,3:15 PM,402,1.2%,20.1%,75.6%,1.2%,417,399,398,46.2%
09X276,Leadership Institute,Bronx,X004,1701 Fulton Avenue,Bronx,NY,10457,40.84127,-73.89798,718-299-7490,8:30 AM,3:15 PM,207,1.9%,34.3%,63.3%,0.0%,,,,23.5%
09X350,New Directions Secondary School,Bronx,X410,240 East 172nd Street,Bronx,NY,10457,40.84037,-73.91084,718-410-4242,,,,,,,,,,,
09X525,Bronx Leadership Academy High School,Bronx,X876,1710 Webster Avenue,Bronx,NY,10457,40.84358,-73.90322,718-299-4274,8:00 AM,3:44 PM,686,0.6%,35.7%,61.7%,0.4%,375,372,374,49.1%
09X263,Validus Preparatory Academy: An Expeditionary Learning School,Bronx,X970,1595 Bathgate Avenue,Bronx,NY,10457,40.83933,-73.90131,718-466-4000,8:15 AM,3:15 PM,375,0.8%,26.9%,70.7%,1.6%,382,375,384,59.2%
09X413,Bronx High School for Medical Science,Bronx,X410,240 East 172nd Street,Bronx,NY,10457,40.84037,-73.91084,718-410-4040,7:45 AM,3:15 PM,472,0.7%,36.7%,53.4%,7.1%,431,421,426,83.9%
09X231,Eagle Academy for Young Men,Bronx,X465,4143 Third Avenue,Bronx,NY,10457,40.84519,-73.89698,718-466-8000,8:30 AM,4:00 PM,608,0.5%,60.7%,36.0%,0.3%,398,410,397,65.7%
09X412,Bronx High School of Business,Bronx,X410,240 East 172nd Street,Bronx,NY,10457,40.84037,-73.91084,718-410-4060,7:45 AM,3:15 PM,339,1.2%,33.3%,63.1%,1.5%,365,360,346,33.3%
09X329,DreamYard Preparatory School,Bronx,X410,240 East 172nd Street,Bronx,NY,10457,40.84037,-73.91084,718-410-4242,8:40 AM,3:15 PM,336,1.2%,33.6%,60.7%,1.5%,385,385,388,51.1%
10X225,Theatre Arts Production Company School,Bronx,X137,2225 Webster Avenue,Bronx,NY,10457,40.85465,-73.89665,718-584-0832,8:30 AM,3:30 PM,632,0.7%,29.2%,66.6%,1.2%,402,421,410,77.7%
10X243,West Bronx Academy for the Future,Bronx,X435,500 East Fordham Road,Bronx,NY,10458,40.86001,-73.88823,718-563-7139,8:30 AM,3:15 PM,599,3.0%,21.1%,72.0%,2.7%,404,383,378,57.3%
10X524,Crotona International High School,Bronx,X660,2474 Crotona Avenue,Bronx,NY,10458,40.85592,-73.88258,718-561-8701,8:30 AM,4:15 PM,336,1.8%,10.4%,85.7%,1.8%,,,,0.0%
10X439,Bronx High School for Law and Community Service,Bronx,X435,500 East Fordham Road,Bronx,NY,10458,40.86001,-73.88823,718-733-5274,8:15 AM,4:00 PM,398,1.8%,24.4%,70.9%,1.3%,401,402,386,64.8%
10X264,Bronx Academy for Software Engineering (BASE),Bronx,X660,2474 Crotona Avenue,Bronx,NY,10458,40.85592,-73.88258,718-733-6024,8:30 AM,3:30 PM,226,2.7%,28.8%,60.6%,7.5%,,,,
10X434,Belmont Preparatory High School,Bronx,X435,500 East Fordham Road,Bronx,NY,10458,40.86001,-73.88823,718-733-4559,8:15 AM,3:45 PM,416,1.9%,30.0%,65.6%,2.2%,413,408,402,55.3%
10X437,Fordham High School for the Arts,Bronx,X435,500 East Fordham Road,Bronx,NY,10458,40.86001,-73.88823,718-733-4656,8:00 AM,3:45 PM,401,2.5%,30.9%,65.1%,1.0%,398,404,412,56.2%
10X565,High School for Energy and Technology,Bronx,X660,2474 Crotona Avenue,Bronx,NY,10458,40.85592,-73.88258,718-733-3080,8:00 AM,3:45 PM,311,1.0%,26.7%,70.1%,1.3%,,,,
10X374,Knowledge and Power Preparatory Academy International High School (KAPPA),Bronx,X435,500 East Fordham Road,Bronx,NY,10458,40.86001,-73.88823,718-933-1247,7:30 AM,4:00 PM,487,2.1%,32.2%,61.4%,2.5%,408,417,404,66.7%
10X438,Fordham Leadership Academy for Business and Technology,Bronx,X435,500 East Fordham Road,Bronx,NY,10458,40.86001,-73.88823,718-733-5024,8:00 AM,4:00 PM,438,2.7%,27.6%,67.8%,1.8%,355,373,368,44.3%
12X248,Metropolitan High School,Bronx,X099,1180 Rev JA Polite Avenue,Bronx,NY,10459,40.82523,-73.89395,718-991-4634,8:00 AM,4:00 PM,326,0.3%,21.5%,74.8%,0.9%,387,388,386,65.9%
08X332,Holcombe L. Rucker School of Community Research,Bronx,X039,965 Longwood Avenue,Bronx,NY,10459,40.81744,-73.89805,718-860-1053,8:15 AM,3:15 PM,236,0.4%,43.2%,54.7%,0.4%,376,372,369,59.0%
08X530,Banana Kelly High School,Bronx,X039,965 Longwood Avenue,Bronx,NY,10459,40.81744,-73.89805,718-860-1242,8:45 AM,3:05 PM,325,1.2%,37.2%,60.6%,0.0%,378,391,378,25.7%
08X269,Bronx Studio School for Writers and Artists,Bronx,X392,928 Simpson Street,Bronx,NY,10459,40.82062,-73.89307,718-893-5158,8:20 AM,3:20 PM,565,0.6%,20.3%,76.9%,1.2%,417,412,403,71.6%
12X278,Peace and Diversity Academy,Bronx,X099,1180 Rev JA Polite Avenue,Bronx,NY,10459,40.82523,-73.89395,718-991-1855,8:45 AM,3:15 PM,170,1.8%,44.1%,52.4%,0.6%,366,362,365,27.1%
12X271,East Bronx Academy for the Future,Bronx,X973,1716 Southern Boulevard,Bronx,NY,10460,40.83695,-73.88796,718-861-8641,8:30 AM,3:00 PM,618,0.5%,25.4%,71.0%,3.0%,418,406,408,41.1%
12X511,Bronx Envision Academy,Bronx,X098,1619 Boston Road,Bronx,NY,10460,40.83594,-73.89047,718-589-1590,8:25 AM,3:15 PM,355,2.0%,34.4%,60.3%,2.0%,364,385,366,76.5%
12X682,Fannie Lou Hamer Freedom High School,Bronx,X878,1021 Jennings Street,Bronx,NY,10460,40.83081,-73.88602,718-861-0521,8:45 AM,2:45 PM,470,0.2%,28.5%,70.4%,0.4%,345,347,339,75.0%
12X251,Explorations Academy,Bronx,X098,1619 Boston Road,Bronx,NY,10460,40.83594,-73.89047,718-893-6173,8:00 AM,3:30 PM,358,2.0%,27.1%,69.8%,0.8%,377,372,365,43.0%
12X372,Urban Assembly School for Wildlife Conservation,Bronx,X067,2024 Mohegan Avenue,Bronx,NY,10460,40.84404,-73.88469,718-991-2695,8:40 AM,3:00 PM,571,2.2%,25.3%,69.4%,2.2%,393,397,379,71.1%
12X684,Wings Academy,Bronx,X879,1122 East 180th Street,Bronx,NY,10460,40.84181,-73.87542,718-597-1751,8:00 AM,3:00 PM,501,1.2%,58.5%,37.9%,0.8%,379,372,373,49.2%
08X348,Schuylerville Preparatory High School,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-904-4200,8:00 AM,3:40 PM,177,6.2%,22.0%,66.7%,4.0%,,,,
08X293,Renaissance High School for Musical Theater and Technology,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-430-6390,8:15 AM,3:00 PM,444,7.2%,27.9%,61.0%,3.2%,390,411,393,52.3%
08X558,Westchester Square Academy,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-904-5050,8:15 AM,3:20 PM,396,8.8%,26.8%,56.6%,4.5%,,,,
08X320,Pelham Lab High School,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-904-5090,8:00 AM,4:00 PM,211,5.2%,33.2%,52.6%,7.6%,,,,
08X405,Herbert H. Lehman High School,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-904-4200,8:15 AM,3:45 PM,1535,10.6%,23.6%,54.9%,9.2%,426,419,407,28.9%
08X349,Bronx River High School,Bronx,X405,3000 East Tremont Avenue,Bronx,NY,10461,40.84051,-73.83812,718-904-4210,8:14 AM,3:36 PM,204,2.5%,29.9%,60.8%,2.9%,,,,
11X418,Bronx High School for the Visual Arts,Bronx,X839,2040 Antin Place,Bronx,NY,10462,40.85143,-73.86502,718-319-5160,8:15 AM,2:45 PM,483,6.8%,27.3%,61.5%,3.7%,408,428,404,32.5%
10X368,In-Tech Academy,Bronx,X368,2975 Tibbett Avenue,Bronx,NY,10463,40.88005,-73.90921,718-432-4300,8:30 AM,3:30 PM,1022,3.4%,10.8%,82.8%,2.8%,426,419,404,85.9%
10X284,Bronx School of Law and Finance,Bronx,X475,99 Terrace View Avenue,Bronx,NY,10463,40.87705,-73.91234,718-561-0113,8:00 AM,2:45 PM,426,2.6%,30.3%,64.8%,2.1%,384,394,366,48.3%
10X213,Bronx Engineering and Technology Academy,Bronx,X475,99 Terrace View Avenue,Bronx,NY,10463,40.87705,-73.91234,718-563-6678,8:15 AM,4:30 PM,417,1.4%,34.3%,55.9%,6.7%,394,406,391,59.6%
10X546,Bronx Theatre High School,Bronx,X475,99 Terrace View Avenue,Bronx,NY,10463,40.87705,-73.91234,718-329-2902,8:40 AM,4:00 PM,428,1.6%,30.1%,67.1%,0.5%,382,384,390,66.7%
10X477,Marble Hill High School for International Studies,Bronx,X475,99 Terrace View Avenue,Bronx,NY,10463,40.87705,-73.91234,718-561-0973,8:30 AM,4:40 PM,449,5.1%,24.5%,61.0%,8.9%,451,417,423,92.9%
10X237,"Marie Curie School for Medicine, Nursing, and Health Professions",Bronx,X143,120 West 231st Street,Bronx,NY,10463,40.87598,-73.90123,718-432-6491,8:00 AM,2:45 PM,583,3.3%,35.7%,56.9%,2.7%,423,420,425,68.6%
10X141,Riverdale/Kingsbridge Academy,Bronx,X141,660 West 237th Street,Bronx,NY,10463,40.88837,-73.91409,718-796-8516,8:20 AM,2:40 PM,1381,23.7%,12.3%,55.7%,7.7%,496,485,476,69.4%
11X513,New World High School,Bronx,X362,921 East 228th Street,Bronx,NY,10466,40.88792,-73.85287,718-696-3800,8:00 AM,3:00 PM,408,7.6%,9.3%,66.2%,13.7%,407,363,358,93.0%
11X514,Bronxwood Preparatory Academy,Bronx,X362,921 East 228th Street,Bronx,NY,10466,40.88792,-73.85287,718-696-3820,8:00 AM,3:00 PM,423,3.8%,61.9%,28.8%,3.3%,392,408,392,43.3%
11X270,Academy for Scholarship and Entrepreneurship (College Board),Bronx,X362,921 East 228th Street,Bronx,NY,10466,40.88792,-73.85287,718-696-3840,8:00 AM,2:56 PM,371,1.1%,63.6%,30.5%,3.2%,392,408,400,63.4%
11X544,High School for Contemporary Arts,Bronx,X425,800 East Gun Hill Road,Bronx,NY,10467,40.87575,-73.86139,718-944-5610,8:00 AM,2:45 PM,493,1.0%,38.1%,59.2%,0.8%,367,381,361,41.0%
11X545,Bronx Aerospace High School,Bronx,X425,800 East Gun Hill Road,Bronx,NY,10467,40.87575,-73.86139,718-696-6010,9:00 AM,5:00 PM,431,2.1%,29.2%,64.5%,2.3%,403,410,393,50.5%
11X290,Bronx Academy of Health Careers,Bronx,X425,800 East Gun Hill Road,Bronx,NY,10467,40.87575,-73.86139,718-696-3340,8:25 AM,3:15 PM,465,1.9%,44.7%,47.3%,4.7%,386,380,391,59.4%
11X275,High School of Computers and Technology,Bronx,X425,800 East Gun Hill Road,Bronx,NY,10467,40.87575,-73.86139,718-696-3930,8:00 AM,3:00 PM,567,1.2%,34.4%,58.0%,4.9%,396,399,377,65.6%
11X265,Bronx Lab School,Bronx,X425,800 East Gun Hill Road,Bronx,NY,10467,40.87575,-73.86139,718-696-3700,8:45 AM,5:00 PM,471,1.5%,39.9%,54.4%,3.6%,407,416,401,77.4%
11X253,Bronx High School for Writing and Communication Arts,Bronx,X425,800 East Gun Hill Road,Bronx,NY,10467,40.87575,-73.86139,718-944-5660,8:00 AM,3:00 PM,389,1.3%,45.0%,49.1%,3.3%,380,437,425,38.1%
10X433,High School for Teaching and the Professions,Bronx,X430,2780 Reservoir Avenue,Bronx,NY,10468,40.87038,-73.89816,718-329-7380,8:45 AM,3:45 PM,486,2.7%,20.4%,74.5%,1.9%,372,361,369,46.5%
10X445,Bronx High School of Science,Bronx,X445,75 West 205th Street,Bronx,NY,10468,40.87706,-73.88978,718-817-7700,8:00 AM,3:45 PM,3015,22.1%,2.6%,5.5%,62.8%,714,660,667,97.0%
10X268,Kingsbridge International High School,Bronx,X430,2780 Reservoir Avenue,Bronx,NY,10468,40.87038,-73.89816,718-329-8580,7:45 AM,2:45 PM,461,2.0%,5.2%,85.9%,6.5%,366,311,310,50.7%
10X549,Discovery High School,Bronx,X430,2780 Reservoir Avenue,Bronx,NY,10468,40.87038,-73.89816,718-733-3872,8:45 AM,3:45 PM,530,2.3%,17.4%,77.2%,2.5%,432,396,395,39.9%
10X353,World View High School,Bronx,X440,100 West Mosholu Parkway South,Bronx,NY,10468,40.88008,-73.8859,718-601-0391,9:00 AM,4:00 PM,173,1.2%,27.7%,68.8%,1.2%,,,,
10X442,Celia Cruz Bronx High School of Music,Bronx,X430,2780 Reservoir Avenue,Bronx,NY,10468,40.87038,-73.89816,718-329-8550,8:00 AM,3:45 PM,430,1.2%,25.3%,70.0%,1.4%,417,434,425,75.6%
10X696,High School of American Studies at Lehman College,Bronx,X905,2925 Goulden Avenue,Bronx,NY,10468,40.87126,-73.89752,718-329-2144,8:00 AM,3:00 PM,376,50.8%,4.0%,15.2%,23.1%,669,672,672,91.8%
10X440,DeWitt Clinton High School,Bronx,X440,100 West Mosholu Parkway South,Bronx,NY,10468,40.88008,-73.8859,718-543-1000,8:00 AM,2:46 PM,2109,3.6%,31.6%,54.5%,8.6%,445,436,433,31.8%
10X342,International School for Liberal Arts,Bronx,X430,2780 Reservoir Avenue,Bronx,NY,10468,40.87038,-73.89816,718-329-8570,8:00 AM,3:45 PM,561,0.5%,0.0%,99.5%,0.0%,390,387,379,19.2%
10X351,Bronx Collaborative High School,Bronx,X440,100 West Mosholu Parkway South,Bronx,NY,10468,40.88008,-73.8859,718-543-1023,9:00 AM,4:00 PM,223,4.9%,29.6%,62.3%,1.3%,,,,
11X299,Astor Collegiate Academy,Bronx,X415,925 Astor Avenue,Bronx,NY,10469,40.8597,-73.86074,718-944-3418,7:35 AM,3:55 PM,476,10.5%,33.4%,47.9%,6.5%,422,417,409,57.9%
11X542,Pelham Preparatory Academy,Bronx,X415,925 Astor Avenue,Bronx,NY,10469,40.8597,-73.86074,718-944-3601,8:15 AM,3:45 PM,489,6.5%,35.6%,48.9%,5.5%,420,433,425,77.0%
11X509,High School of Language and Innovation,Bronx,X415,925 Astor Avenue,Bronx,NY,10469,40.8597,-73.86074,718-944-3625,8:25 AM,3:15 PM,354,11.0%,11.9%,57.6%,16.7%,356,340,320,72.7%
11X288,Collegiate Institute for Math and Science,Bronx,X415,925 Astor Avenue,Bronx,NY,10469,40.8597,-73.86074,718-944-3635,8:15 AM,4:15 PM,687,9.5%,33.8%,43.5%,11.6%,488,461,458,79.8%
11X508,Bronxdale High School,Bronx,X415,925 Astor Avenue,Bronx,NY,10469,40.8597,-73.86074,718-944-3655,8:25 AM,3:55 PM,427,9.4%,28.8%,57.1%,3.0%,418,432,436,72.5%
12X388,Pan American International High School at Monroe,Bronx,X420,1300 Boynton Avenue,Bronx,NY,10472,40.83137,-73.87882,718-991-7238,8:30 AM,5:30 PM,428,0.0%,0.0%,100.0%,0.0%,317,315,292,65.6%
12X478,Cinema School,Bronx,X423,1551 East 172nd Street,Bronx,NY,10472,40.83136,-73.87834,718-620-2560,8:30 AM,3:45 PM,338,4.1%,21.9%,69.8%,3.8%,430,449,448,88.3%
12X692,Monroe Academy for Visual Arts and Design,Bronx,X420,1300 Boynton Avenue,Bronx,NY,10472,40.83137,-73.87882,718-860-8160,8:30 AM,3:00 PM,445,0.9%,18.0%,78.4%,1.1%,361,354,351,46.8%
12X242,Mott Hall V,Bronx,X423,1551 East 172nd Street,Bronx,NY,10472,40.83136,-73.87834,718-620-8160,8:00 AM,3:30 PM,669,1.7%,22.2%,70.6%,4.2%,430,422,414,77.5%
12X521,Metropolitan Soundview High School,Bronx,X420,1300 Boynton Avenue,Bronx,NY,10472,40.83137,-73.87882,718-860-8240,8:30 AM,3:40 PM,416,1.7%,26.2%,67.3%,2.6%,444,428,422,52.0%
12X550,High School of World Cultures,Bronx,X420,1300 Boynton Avenue,Bronx,NY,10472,40.83137,-73.87882,718-860-8120,8:00 AM,4:00 PM,410,1.2%,8.3%,80.2%,8.0%,356,359,347,38.2%
08X312,Millennium Art Academy,Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-824-0978,8:00 AM,3:00 PM,487,1.8%,30.0%,65.1%,2.3%,396,413,395,39.2%
08X452,Bronx Guild,Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-597-1587,8:30 AM,3:00 PM,326,1.2%,32.2%,61.7%,4.0%,365,393,357,41.3%
08X367,"Archimedes Academy for Math, Science, and Technology Applications",Bronx,X174,456 White Plains Road,Bronx,NY,10473,40.81492,-73.85657,718-617-5046,8:25 AM,3:15 PM,637,2.2%,30.9%,60.6%,5.5%,418,430,403,51.2%
08X432,Bronx Bridges High School,Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-829-2984,8:00 AM,3:45 PM,333,1.8%,6.6%,82.9%,7.8%,,,,1.2%
08X305,Pablo Neruda Academy,Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-824-1682,8:00 AM,3:50 PM,315,1.3%,26.0%,67.6%,4.4%,394,384,383,44.2%
08X282,Women's Academy of Excellence,Bronx,X174,456 White Plains Road,Bronx,NY,10473,40.81492,-73.85657,718-542-0740,8:30 AM,2:45 PM,345,2.6%,50.1%,41.2%,3.5%,386,390,389,45.2%
08X561,Bronx Compass High School,Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-828-1206,8:30 AM,3:15 PM,332,0.9%,34.6%,60.2%,2.4%,,,,
08X519,Felisa Rincon de Gautier Institute for Law and Public Policy,Bronx,X972,1440 Story Avenue,Bronx,NY,10473,40.82117,-73.88114,718-860-5110,8:00 AM,2:19 PM,307,2.9%,25.4%,67.8%,2.0%,389,408,413,31.3%
08X376,Antonia Pantoja Preparatory Academy (College Board),Bronx,X450,1980 Lafayette Avenue,Bronx,NY,10473,40.8223,-73.85596,718-824-3152,8:00 AM,2:45 PM,450,1.3%,26.2%,65.4%,6.3%,435,415,423,44.9%
11X249,Bronx Health Sciences High School,Bronx,X455,750 Baychester Avenue,Bronx,NY,10475,40.87413,-73.8338,718-862-4406,7:15 AM,3:00 PM,374,2.7%,51.9%,34.5%,7.5%,407,421,427,87.1%
11X455,Harry S. Truman High School,Bronx,X455,750 Baychester Avenue,Bronx,NY,10475,40.87413,-73.8338,718-904-5400,8:00 AM,3:00 PM,2058,2.2%,51.6%,42.7%,2.4%,400,401,391,41.5%
24Q600,Queens Vocational and Technical High School,Queens,Q600,37-02 47th Avenue,Long Island City,NY,11101,40.74219,-73.92824,718-937-3010,8:00 AM,4:30 PM,1553,7.3%,5.8%,74.6%,12.1%,467,436,432,53.4%
24Q267,High School of Applied Communication,Queens,Q735,30-20 Thomson Avenue,Long Island City,NY,11101,40.74509,-73.93681,718-389-3163,8:30 AM,3:30 PM,421,13.5%,12.6%,54.4%,15.9%,435,437,441,70.9%
24Q520,Middle College High School at LaGuardia Community College,Queens,Q520,45-35 Van Dam Street,Long Island City,NY,11101,40.74415,-73.93363,718-392-3330,8:00 AM,1:55 PM,514,7.0%,4.7%,79.6%,8.4%,377,389,377,48.7%
30Q301,Academy for Careers in Television and Film,Queens,Q404,1-50 51st Avenue,Long Island City,NY,11101,40.74114,-73.94969,718-609-3330,9:00 AM,3:30 PM,515,20.8%,15.9%,54.2%,5.8%,444,458,444,95.0%
24Q610,Aviation Career and Technical Education High School,Queens,Q610,45-30 36th Street,Long Island City,NY,11101,40.74359,-73.92908,718-361-2032,8:00 AM,4:30 PM,2168,11.0%,6.3%,49.0%,30.9%,511,464,456,78.6%
30Q575,Academy of American Studies,Queens,Q451,28-04 41st Avenue,Long Island City,NY,11101,40.7513,-73.93742,718-361-8786,9:50 AM,4:15 PM,874,28.3%,7.3%,34.3%,29.3%,495,482,479,84.8%
30Q555,Newcomers High School,Queens,Q450,28-01 41st Avenue,Long Island City,NY,11101,40.75138,-73.93745,718-937-6005,8:00 AM,3:00 PM,993,6.2%,2.4%,54.6%,36.7%,490,374,381,47.1%
24Q299,Bard High School Early College Queens,Queens,Q735,30-20 Thomson Avenue,Long Island City,NY,11101,40.74509,-73.93681,718-361-3133,9:00 AM,3:20 PM,623,34.5%,11.4%,17.0%,34.2%,631,598,610,94.1%
24Q530,International High School at LaGuardia Community College,Queens,Q520,45-35 Van Dam Street,Long Island City,NY,11101,40.74415,-73.93363,718-392-3433,8:00 AM,3:30 PM,509,13.0%,2.6%,45.0%,39.3%,425,367,365,71.7%
30Q502,Information Technology High School,Queens,Q725,21-16 44th Road,Long Island City,NY,11101,40.74792,-73.94657,718-937-4270,7:15 AM,2:05 PM,970,9.4%,14.9%,56.3%,18.2%,443,420,411,58.8%
24Q560,Robert F. Wagner Jr. Secondary School for Arts and Technology,Queens,Q891,47-07 30th Place,Long Island City,NY,11101,40.74226,-73.93688,718-472-5671,8:00 AM,3:00 PM,610,10.9%,4.9%,64.3%,19.2%,478,445,445,71.1%
24Q264,Academy of Finance and Enterprise,Queens,Q735,30-20 Thomson Avenue,Long Island City,NY,11101,40.74509,-73.93681,718-389-3623,8:15 AM,3:15 PM,478,15.3%,7.1%,51.9%,22.0%,489,456,459,92.7%
30Q286,Young Women's Leadership School in Astoria,Queens,Q739,23-15 Newtown Avenue,Astoria,NY,11102,40.77125,-73.9246,718-267-2839,8:00 AM,3:20 PM,572,19.6%,4.7%,38.0%,37.7%,483,464,477,100.0%
